period,date,year,month,day,day_of_week,number1,number2,number3,number4,number5,number6,special_number,flag,created_at,updated_at
95,20231017,2023,10,17,2,5,12,13,2,24,34,27
96,20231020,2023,10,20,5,32,37,38,39,4,44,24
97,20231024,2023,10,24,2,7,29,34,41,43,49,22
98,20231027,2023,10,27,5,6,15,22,27,28,31,24
99,20231031,2023,10,31,2,2,1,18,36,42,47,24
100,20231103,2023,11,3,5,8,2,24,28,4,48,3
101,20231107,2023,11,7,2,7,8,21,41,44,47,13
102,20231110,2023,11,10,5,2,4,6,8,11,31,26
103,20231114,2023,11,14,2,6,12,15,3,38,43,41
104,20231117,2023,11,17,5,15,3,31,34,4,45,47
105,20231121,2023,11,21,2,16,21,26,3,37,47,31
106,20231124,2023,11,24,5,9,16,2,42,43,48,2
107,20231128,2023,11,28,2,12,18,23,27,33,44,39
108,20231201,2023,12,1,5,40,4,23,18,15,47,42
109,20231205,2023,12,5,2,10,14,30,38,42,48,37
110,20231208,2023,12,8,5,5,8,22,27,28,29,16
111,20231212,2023,12,12,2,6,20,30,33,38,46,16
112,20231215,2023,12,15,5,1,9,22,28,33,39,07
113,20231219,2023,12,19,2,14,18,20,26,38,48,2
114,20231222,2023,12,22,5,8,09,20,34,35,49,40
115,20231226,2023,12,26,2,8,19,28,29,30,46,10
